rung	family	lr	cell	step	tokens	val_loss
r2_small	adamw	1e-3	adamw_lr1e3	0	0	9.1547
r2_small	adamw	1e-3	adamw_lr1e3	50	12800	7.1302
r2_small	adamw	1e-3	adamw_lr1e3	100	25600	6.1363
r2_small	adamw	1e-3	adamw_lr1e3	150	38400	5.9665
r2_small	adamw	1e-3	adamw_lr1e3	200	51200	5.7481
r2_small	adamw	1e-3	adamw_lr1e3	250	64000	5.4963
r2_small	adamw	1e-3	adamw_lr1e3	300	76800	5.2494
r2_small	adamw	1e-3	adamw_lr1e3	350	89600	5.0524
r2_small	adamw	1e-3	adamw_lr1e3	400	102400	4.8992
r2_small	adamw	1e-3	adamw_lr1e3	450	115200	4.7742
r2_small	adamw	1e-3	adamw_lr1e3	500	128000	4.6696
r2_small	adamw	1e-3	adamw_lr1e3	550	140800	4.6064
r2_small	adamw	1e-3	adamw_lr1e3	600	153600	4.5579
r2_small	adamw	1e-3	adamw_lr1e3	650	166400	4.5189
r2_small	adamw	1e-3	adamw_lr1e3	700	179200	4.4787
r2_small	adamw	1e-3	adamw_lr1e3	750	192000	4.4427
r2_small	adamw	3e-3	adamw_lr3e3	0	0	9.1547
r2_small	adamw	3e-3	adamw_lr3e3	50	12800	6.3043
r2_small	adamw	3e-3	adamw_lr3e3	100	25600	6.2448
r2_small	adamw	3e-3	adamw_lr3e3	150	38400	6.0149
r2_small	adamw	3e-3	adamw_lr3e3	200	51200	5.9415
r2_small	adamw	3e-3	adamw_lr3e3	250	64000	5.9285
r2_small	adamw	3e-3	adamw_lr3e3	300	76800	5.8945
r2_small	adamw	3e-3	adamw_lr3e3	350	89600	6.0053
r2_small	adamw	3e-3	adamw_lr3e3	400	102400	6.0757
r2_small	adamw	3e-3	adamw_lr3e3	450	115200	5.8607
r2_small	adamw	3e-3	adamw_lr3e3	500	128000	5.8242
r2_small	adamw	3e-3	adamw_lr3e3	550	140800	5.7540
r2_small	adamw	3e-3	adamw_lr3e3	600	153600	5.7262
r2_small	adamw	3e-3	adamw_lr3e3	650	166400	5.6967
r2_small	adamw	3e-3	adamw_lr3e3	700	179200	5.6244
r2_small	adamw	3e-3	adamw_lr3e3	750	192000	5.5900
r2_small	adamw	3e-4	adamw_lr3e4	0	0	9.1547
r2_small	adamw	3e-4	adamw_lr3e4	50	12800	8.3774
r2_small	adamw	3e-4	adamw_lr3e4	100	25600	7.3344
r2_small	adamw	3e-4	adamw_lr3e4	150	38400	6.6249
r2_small	adamw	3e-4	adamw_lr3e4	200	51200	6.2046
r2_small	adamw	3e-4	adamw_lr3e4	250	64000	6.0411
r2_small	adamw	3e-4	adamw_lr3e4	300	76800	5.8859
r2_small	adamw	3e-4	adamw_lr3e4	350	89600	5.7521
r2_small	adamw	3e-4	adamw_lr3e4	400	102400	5.6410
r2_small	adamw	3e-4	adamw_lr3e4	450	115200	5.5317
r2_small	adamw	3e-4	adamw_lr3e4	500	128000	5.4401
r2_small	adamw	3e-4	adamw_lr3e4	550	140800	5.3731
r2_small	adamw	3e-4	adamw_lr3e4	600	153600	5.3125
r2_small	adamw	3e-4	adamw_lr3e4	650	166400	5.2736
r2_small	adamw	3e-4	adamw_lr3e4	700	179200	5.2380
r2_small	adamw	3e-4	adamw_lr3e4	750	192000	5.2146
r2_small	mhc2	1e-2	mhc2_lr1e2	0	0	9.1549
r2_small	mhc2	1e-2	mhc2_lr1e2	50	12800	5.9870
r2_small	mhc2	1e-2	mhc2_lr1e2	100	25600	4.8988
r2_small	mhc2	1e-2	mhc2_lr1e2	150	38400	4.7233
r2_small	mhc2	1e-2	mhc2_lr1e2	200	51200	4.5379
r2_small	mhc2	1e-2	mhc2_lr1e2	250	64000	4.3565
r2_small	mhc2	1e-2	mhc2_lr1e2	300	76800	4.2896
r2_small	mhc2	1e-2	mhc2_lr1e2	350	89600	4.1345
r2_small	mhc2	1e-2	mhc2_lr1e2	400	102400	4.0687
r2_small	mhc2	1e-2	mhc2_lr1e2	450	115200	3.9682
r2_small	mhc2	1e-2	mhc2_lr1e2	500	128000	3.8769
r2_small	mhc2	1e-2	mhc2_lr1e2	550	140800	3.8001
r2_small	mhc2	1e-2	mhc2_lr1e2	600	153600	3.7311
r2_small	mhc2	1e-2	mhc2_lr1e2	650	166400	3.7052
r2_small	mhc2	1e-2	mhc2_lr1e2	700	179200	3.6397
r2_small	mhc2	1e-2	mhc2_lr1e2	750	192000	3.5900
r2_small	mhc2	3e-2	mhc2_lr3e2	0	0	9.1549
r2_small	mhc2	3e-2	mhc2_lr3e2	50	12800	6.2372
r2_small	mhc2	3e-2	mhc2_lr3e2	100	25600	5.2834
r2_small	mhc2	3e-2	mhc2_lr3e2	150	38400	5.0267
r2_small	mhc2	3e-2	mhc2_lr3e2	200	51200	4.8722
r2_small	mhc2	3e-2	mhc2_lr3e2	250	64000	5.1898
r2_small	mhc2	3e-2	mhc2_lr3e2	300	76800	4.6325
r2_small	mhc2	3e-2	mhc2_lr3e2	350	89600	4.6129
r2_small	mhc2	3e-2	mhc2_lr3e2	400	102400	4.5357
r2_small	mhc2	3e-2	mhc2_lr3e2	450	115200	4.4600
r2_small	mhc2	3e-2	mhc2_lr3e2	500	128000	4.3963
r2_small	mhc2	3e-2	mhc2_lr3e2	550	140800	4.3684
